Latitude,Longitude,Station,Depth,Date,Oxygen,DIC,pH,Nitrate,Phosphate,NSTAR
24.492001,-30.321991,Station 106,49,04/07/2010,214.84,2106.4,8.0479,0,0.00985,2.385888
24.492001,-30.321991,Station 106,111,04/07/2010,215.97,2115.9,8.0163,0,0,2.523
24.492001,-30.321991,Station 106,176,04/07/2010,201.21,2127,7.9731,2.2388,0.0985,3.099636
24.492001,-30.321991,Station 106,250,04/07/2010,193.11,NaN,NaN,5.3171,0.28565,3.172629
24.492001,-30.321991,Station 106,374,04/07/2010,184.19,2143.2,7.8661,9.5342,0.56145,3.00237
24.492001,-30.321991,Station 106,499,04/07/2010,171.38,NaN,NaN,14.938,0.9062,2.904756
24.492001,-30.321991,Station 106,748,04/07/2010,132.02,NaN,NaN,25.524,1.6056,2.378928
24.492001,-30.321991,Station 106,873,04/07/2010,136.63,NaN,NaN,26.817,1.7237,1.859885
24.492001,-30.321991,Station 106,1001,04/07/2010,153.96,2205,7.6565,26.306,1.7139,1.551732
24.492001,-30.321991,Station 106,1250,04/07/2010,188.19,NaN,NaN,23.633,1.5169,1.968462
24.492001,-30.321991,Station 106,1504,04/07/2010,209.2,2185.9,7.7207,21.269,1.3987,1.557125
24.492001,-30.321991,Station 106,1761,04/07/2010,225.5,NaN,NaN,20.584,1.3692,1.371816
24.492001,-30.321991,Station 106,2004,04/07/2010,235.24,2177.6,7.7408,20.246,1.3692,1.077756
24.492001,-30.321991,Station 106,2249,04/07/2010,242.21,NaN,NaN,20.062,1.3593,1.055484
24.492001,-30.321991,Station 106,2507,04/07/2010,244.46,NaN,NaN,20.198,1.3593,1.173804
24.257999,-142.589996,Station 44,11,12/12/2005,215.64,2001.4,8.0581,0.02,0.105,1.0788
24.257999,-142.589996,Station 44,50,12/12/2005,215.55,2002,8.0583,0.03,0.11,1.0179
24.257999,-142.589996,Station 44,100,12/12/2005,222.32,2016.7,8.0316,0.02,0.07,1.566
24.257999,-142.589996,Station 44,149,12/12/2005,207.28,2034.9,7.9834,0.7,0.152,1.01616
24.257999,-142.589996,Station 44,199,12/12/2005,201.48,2049.4,7.9012,4.24,0.407,0.54636
24.257999,-142.589996,Station 44,248,12/12/2005,208.65,2064.2,7.8342,8.67,0.709,0.19662
24.257999,-142.589996,Station 44,299,12/12/2005,206.2,2091.1,7.7784,13.44,1.009,0.17052
24.257999,-142.589996,Station 44,397,12/12/2005,166.26,2151.8,7.6564,22.22,1.615,-0.626401
24.257999,-142.589996,Station 44,497,12/12/2005,113.63,2220,7.5126,31.4,2.277,-1.85484
24.257999,-142.589996,Station 44,597,12/12/2005,50.03,2290.3,7.3799,39.14,2.861,-3.250321
24.257999,-142.589996,Station 44,693,12/12/2005,21.58,2326.4,7.3332,42.25,3.127,-4.247341
24.257999,-142.589996,Station 44,793,12/12/2005,17.55,2344.5,7.3404,43.21,3.202,-4.456139
24.257999,-142.589996,Station 44,892,12/12/2005,28.84,2344.7,7.3828,42.99,3.149,-3.909778
24.257999,-142.589996,Station 44,992,12/12/2005,36.43,2346.4,7.3764,42.82,3.134,-3.848881
24.257999,-142.589996,Station 44,1189,12/12/2005,45.25,2355,7.4076,42.63,3.111,-3.69402
24.257999,-142.589996,Station 44,1388,12/12/2005,54.03,2359.3,7.4195,42.32,3.073,-3.43476
24.257999,-142.589996,Station 44,1583,12/12/2005,61.78,2364.6,7.4359,42,3.033,-3.15636
24.257999,-142.589996,Station 44,1783,12/12/2005,73.25,2365.3,7.4535,41.3,2.968,-2.86056
24.257999,-142.589996,Station 44,1979,12/12/2005,83.13,2363.8,7.4704,40.65,2.903,-2.52126
24.257999,-142.589996,Station 44,2175,12/12/2005,92.15,2362.7,7.4852,40.12,2.855,-2.314201
24.257999,-142.589996,Station 44,2372,12/12/2005,100.1,2360.4,7.5001,39.64,2.806,-2.04972
24.257999,-142.589996,Station 44,2569,12/12/2005,106.98,2357.6,7.511,39.17,2.769,-1.943582
24.257999,-142.589996,Station 44,2766,12/12/2005,115.9,2352.6,7.5273,38.59,2.722,-1.793938
24.257999,-142.589996,Station 44,2960,12/12/2005,123.04,2348.9,7.5392,38.24,2.683,-1.55556
45.5,-152,Station 159,3,06/10/2015,285.4,2032.6,7.8325,8.81,0.9588,-3.158796
45.5,-152,Station 159,33,06/10/2015,302.2,2042.4,7.8215,9.3,0.9792,-3.016464
