Station,Date,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Averaged Nitrate,Ratio,Density
PS71/161,2008-03-08,-66.5002,359.99774,7.0,,,,,7.1,25.65,,
PS71/161,2008-03-08,-66.5002,359.99774,9.8,-0.756,33.91,25.65,0.282927,9.9,25.65,90.65942805034514,27.265926177653228
PS71/161,2008-03-08,-66.5002,359.99774,28.0,-1.168,34.099998,26.389999,0.156098,28.3,26.389999,169.0604556112186,27.435788515878812
PS71/161,2008-03-08,-66.5002,359.99774,40.3,-1.706,34.321999,,,40.7,29.75,,27.633376324542724
PS71/161,2008-03-08,-66.5002,359.99774,40.4,-1.694,34.316002,,,40.8,29.75,,27.628162877988416
PS71/161,2008-03-08,-66.5002,359.99774,40.5,-1.702,34.326,,,40.9,29.75,,27.636513946597233
PS71/161,2008-03-08,-66.5002,359.99774,40.5,-1.699,34.317001,,,40.9,29.75,,27.629120297337522
PS71/161,2008-03-08,-66.5002,359.99774,40.8,-1.721,34.334,,,41.2,29.75,,27.643561199134865
PS71/161,2008-03-08,-66.5002,359.99774,40.9,-1.661,34.304001,,,41.3,29.75,,27.617468031489125
PS71/161,2008-03-08,-66.5002,359.99774,41.0,-1.71,34.327999,,,41.4,29.75,,27.638376952043473
PS71/161,2008-03-08,-66.5002,359.99774,41.0,-1.363,34.175999,,,41.4,29.75,,27.50430554361219
PS71/161,2008-03-08,-66.5002,359.99774,41.0,-1.709,34.331001,,,41.4,29.75,,27.640785947590075
PS71/161,2008-03-08,-66.5002,359.99774,41.0,-1.712,34.325001,,,41.4,29.75,,27.635999846678033
PS71/161,2008-03-08,-66.5002,359.99774,41.2,-1.711,34.333,,,41.6,29.75,,27.64247051876282
PS71/161,2008-03-08,-66.5002,359.99774,41.2,-1.692,34.313999,,,41.6,29.75,,27.626494192332757
PS71/161,2008-03-08,-66.5002,359.99774,41.2,-1.705,34.325001,,,41.6,29.75,,27.635802699662463
PS71/161,2008-03-08,-66.5002,359.99774,41.3,-1.704,34.327,,,41.7,29.75,,27.637399076548718
PS71/161,2008-03-08,-66.5002,359.99774,41.3,-1.716,34.327,,,41.7,29.75,,27.637743515852208
PS71/161,2008-03-08,-66.5002,359.99774,41.3,-1.719,34.334999,,,41.7,29.75,,27.644324983081333
PS71/161,2008-03-08,-66.5002,359.99774,41.3,-1.705,34.328999,,,41.7,29.75,,27.639051076937676
PS71/161,2008-03-08,-66.5002,359.99774,41.4,-1.702,34.321999,,,41.8,29.75,,27.63328257098692
PS71/161,2008-03-08,-66.5002,359.99774,41.4,-1.658,34.304001,,,41.8,29.75,,27.617389683339752
PS71/161,2008-03-08,-66.5002,359.99774,41.6,-1.714,34.333,,,42.0,29.75,,27.642564341760362
PS71/161,2008-03-08,-66.5002,359.99774,41.6,-1.708,34.328999,,,42.0,29.75,,27.639143175867503
PS71/161,2008-03-08,-66.5002,359.99774,41.6,-1.71,34.326,,,42.0,29.75,,27.6367653403845
PS71/161,2008-03-08,-66.5002,359.99774,41.7,-1.643,34.298,,,42.1,29.75,,27.612081696975565
PS71/161,2008-03-08,-66.5002,359.99774,41.8,-1.698,34.325001,,,42.2,29.75,,27.635612614124284
PS71/161,2008-03-08,-66.5002,359.99774,44.2,-1.736,34.334,29.75,0.165854,44.6,29.75,179.37463069928972,27.644054117873566
PS71/161,2008-03-08,-66.5002,359.99774,49.5,-1.765,34.347,30.370001,0.156098,50.0,30.370001,194.5572717139233,27.65553406911863
PS71/161,2008-03-08,-66.5002,359.99774,76.6,-0.972,34.432999,31.83,0.185366,77.4,31.83,171.71433812025936,27.698918718648883
PS71/161,2008-03-08,-66.5002,359.99774,100.0,0.78,34.639999,,,101.0,34.0,,27.775726400433086
PS71/161,2008-03-08,-66.5002,359.99774,100.5,0.585,34.612,34.0,0.17561,101.5,34.0,193.6108422071636,27.765379760778387
PS71/161,2008-03-08,-66.5002,359.99774,100.5,0.756,34.637001,,,101.5,34.0,,27.774849418145095
PS71/161,2008-03-08,-66.5002,359.99774,150.3,1.019,34.671001,33.790001,0.234146,151.9,33.790001,144.31167305868988,27.785766234841503
PS71/161,2008-03-08,-66.5002,359.99774,200.0,,,,,202.1,33.34,,
